Date,BTC,NYSE,Int_Rate,Gold,Nasdaq
2014-09-17,457.334015,10973.740234,2.6,90.43,4073.570068
2014-09-18,424.440002,11024.05957,2.629,89.139999,4103.080078
2014-09-19,394.79599,10989.570313,2.587,86.93,4100.089844
2014-09-20,408.903992,10989.570313,2.587,86.93,4100.089844
2014-09-21,398.821014,10989.570313,2.587,86.93,4100.089844
2014-09-22,402.152008,10892.639648,2.5660000000000003,84.440002,4061.22998
2014-09-23,435.790985,10815.419922,2.535,85.879997,4051.570068
2014-09-24,423.204987,10885.599609,2.569,84.980003,4094.310059
2014-09-25,411.574005,10722.209961,2.511,84.949997,4007.820068
2014-09-26,404.424988,10798.879883,2.535,83.91999799999998,4053.719971
2014-09-27,399.519989,10798.879883,2.535,83.91999799999998,4053.719971
2014-09-28,377.181,10798.879883,2.535,83.91999799999998,4053.719971
2014-09-29,375.46701,10749.049805,2.491,82.849998,4047.179932
2014-09-30,386.944,10702.929688,2.508,81.110001,4049.449951
2014-10-01,383.61499,10571.549805,2.403,81.010002,3984.73999
2014-10-02,375.071991,10555.709961,2.438,81.629997,3985.870117
2014-10-03,359.511993,10635.490234,2.447,78.41999799999998,4027.310059
2014-10-04,328.865997,10635.490234,2.447,78.41999799999998,4027.310059
2014-10-05,320.51001,10635.490234,2.447,78.41999799999998,4027.310059
2014-10-06,330.07901,10647.509766,2.425,79.650002,4016.27002
2014-10-07,336.1870120000001,10484.549805,2.35,76.769997,3958.590088
2014-10-08,352.940002,10645.669922,2.33,82.099998,4041.120117
2014-10-09,365.026001,10409.379883,2.327,78.959999,3969.320068
2014-10-10,361.562012,10293.139648,2.307,77.260002,3870.860107
2014-10-11,362.299011,10293.139648,2.307,77.260002,3870.860107
2014-10-12,378.549011,10293.139648,2.307,77.260002,3870.860107
2014-10-13,390.414001,10166.740234,2.286,78.489998,3808.0
2014-10-14,400.869995,10185.910156,2.206,79.269997,3810.449951
2014-10-15,394.77301,10109.69043,2.09,79.220001,3785.969971
2014-10-16,382.556,10123.730469,2.153,79.300003,3765.280029
2014-10-17,383.757996,10250.540039,2.199,77.08000200000002,3815.469971
2014-10-18,391.441986,10250.540039,2.199,77.08000200000002,3815.469971
2014-10-19,389.54599,10250.540039,2.199,77.08000200000002,3815.469971
2014-10-20,382.845001,10327.339844,2.181,78.550003,3870.080078
2014-10-21,386.475006,10500.780273,2.208,78.75,3971.389893
2014-10-22,383.15799,10405.80957,2.229,75.93,3949.590088
2014-10-23,358.416992,10519.280273,2.275,76.25,4012.27002
2014-10-24,358.345001,10582.620117,2.273,75.93,4042.02002
2014-10-25,347.270996,10582.620117,2.273,75.93,4042.02002
2014-10-26,354.70401,10582.620117,2.273,75.93,4042.02002
2014-10-27,352.989014,10544.419922,2.257,74.58000200000002,4046.02002
2014-10-28,357.618011,10677.879883,2.2840000000000003,75.83000200000002,4106.629883
2014-10-29,335.591003,10646.660156,2.323,72.900002,4090.550049
2014-10-30,345.304993,10712.19043,2.305,67.970001,4100.640136999999
2014-10-31,338.321014,10845.0,2.335,64.879997,4158.209961
2014-11-01,325.7489930000001,10845.0,2.335,64.879997,4158.209961
2014-11-02,325.891998,10845.0,2.335,64.879997,4158.209961
2014-11-03,327.553986,10808.669922,2.3480000000000003,66.83000200000001,4169.279785
2014-11-04,330.492004,10758.070313,2.342,64.349998,4156.22998
2014-11-05,339.485992,10824.070313,2.35,61.630001,4153.27002
2014-11-06,349.290009,10843.540039,2.375,64.269997,4164.080078
2014-11-07,342.415009,10864.580078,2.312,69.040001,4160.5
2014-11-08,345.488007,10864.580078,2.312,69.040001,4160.5
2014-11-09,363.264008,10864.580078,2.312,69.040001,4160.5
2014-11-10,366.924011,10892.55957,2.359,65.089996,4175.950195
2014-11-11,367.695007,10907.530273,2.36,67.870003,4187.160156
2014-11-12,423.561005,10884.030273,2.359,67.709999,4195.399902
2014-11-13,420.734985,10868.919922,2.347,66.699997,4213.47998
2014-11-14,397.817993,10880.629883,2.32,70.82,4224.990234000001
2014-11-15,376.132996,10880.629883,2.32,70.82,4224.990234000001
2014-11-16,387.881989,10880.629883,2.32,70.82,4224.990234000001
2014-11-17,387.40799,10883.25,2.34,71.940002,4213.790039
2014-11-18,375.197998,10941.700195,2.322,75.099998,4242.189941
2014-11-19,380.554993,10927.480469,2.351,71.209999,4222.660156
2014-11-20,357.839996,10937.969727,2.335,73.07,4242.089844
2014-11-21,350.847992,11025.740234,2.315,73.769997,4251.319824
2014-11-22,352.920013,11025.740234,2.315,73.769997,4251.319824
2014-11-23,367.572998,11025.740234,2.315,73.769997,4251.319824
2014-11-24,376.901001,11041.419922,2.31,72.769997,4284.319824
2014-11-25,375.347992,11029.370117,2.26,75.41999799999998,4288.22998
2014-11-26,368.369995,11047.910156,2.234,74.440002,4317.990234000001
2014-11-27,369.670013,11047.910156,2.234,74.440002,4317.990234000001
2014-11-28,376.446991,10955.410156,2.194,68.389999,4337.790039
2014-11-29,375.490997,10955.410156,2.194,68.389999,4337.790039
2014-11-30,378.046997,10955.410156,2.194,68.389999,4337.790039
2014-12-01,379.244995,10888.55957,2.218,73.120003,4287.810059
2014-12-02,381.315002,10940.120117,2.285,70.66999799999998,4305.959961
2014-12-03,375.01001,10987.299805,2.287,73.07,4312.930176
2014-12-04,369.604004,10952.299805,2.257,71.459999,4311.930176
2014-12-05,376.854004,10970.259766,2.307,70.150002,4311.569824
2014-12-06,374.785004,10970.259766,2.307,70.150002,4311.569824
2014-12-07,375.095001,10970.259766,2.307,70.150002,4311.569824
2014-12-08,361.908997,10863.540039,2.257,70.18,4278.339844
2014-12-09,352.218994,10821.200195,2.22,73.309998,4294.669922
2014-12-10,346.36499,10662.240234,2.169,71.0,4224.870117
2014-12-11,350.506012,10690.139648,2.178,69.959999,4246.47998
2014-12-12,352.541992,10500.509766,2.103,68.68,4199.279785
2014-12-13,347.376007,10500.509766,2.103,68.68,4199.279785
2014-12-14,351.63198900000015,10500.509766,2.103,68.68,4199.279785
2014-12-15,345.345001,10411.179688,2.116,64.089996,4157.410156
2014-12-16,327.0620120000001,10390.019531,2.071,63.150002,4089.600098
2014-12-17,319.77600099999995,10603.509766,2.148,66.510002,4165.100098
2014-12-18,311.395996,10831.620117,2.204,69.470001,4267.77002
2014-12-19,317.842987,10890.240234,2.176,69.360001,4281.779785
2014-12-20,329.955994,10890.240234,2.176,69.360001,4281.779785
2014-12-21,320.842987,10890.240234,2.176,69.360001,4281.779785
2014-12-22,331.885986,10919.990234,2.162,65.360001,4293.669922
2014-12-23,334.571991,10951.759766,2.257,64.82,4279.299805
2014-12-24,322.533997,10955.110352,2.264,66.58000200000001,4283.100098
2014-12-25,319.007996,10955.110352,2.264,66.58000200000001,4283.100098
2014-12-26,327.924011,10985.400391,2.25,68.400002,4314.089844
2014-12-27,315.863007,10985.400391,2.25,68.400002,4314.089844
2014-12-28,317.239014,10985.400391,2.25,68.400002,4314.089844
2014-12-29,312.670013,10988.009766,2.207,66.68,4312.640136999999
2014-12-30,310.737,10932.990234,2.19,69.059998,4282.350098
2014-12-31,320.192993,10839.240234,2.17,68.779999,4236.279785
2015-01-01,314.2489930000001,10839.240234,2.17,68.779999,4236.279785
2015-01-02,315.032013,10830.919922,2.123,70.510002,4230.240234000001
2015-01-03,281.082001,10830.919922,2.123,70.510002,4230.240234000001
2015-01-04,264.195007,10830.919922,2.123,70.510002,4230.240234000001
2015-01-05,274.47399900000005,10607.679688,2.039,71.800003,4160.959961
2015-01-06,286.1889950000001,10514.870117,1.963,75.839996,4110.830078
2015-01-07,294.3370060000001,10627.129883,1.954,74.610001,4160.0
2015-01-08,283.34899900000005,10800.540039,2.016,73.33000200000002,4240.549805
2015-01-09,290.40799,10711.410156,1.971,76.16999799999998,4213.279785
2015-01-10,274.79599,10711.410156,1.971,76.16999799999998,4213.279785
2015-01-11,265.660004,10711.410156,1.971,76.16999799999998,4213.279785
2015-01-12,267.79599,10640.740234,1.912,79.029999,4169.970215
2015-01-13,225.860992,10622.959961,1.89,75.300003,4166.200195
2015-01-14,178.102997,10565.419922,1.837,73.279999,4145.839844
2015-01-15,209.843994,10514.599609,1.775,77.209999,4089.649902
2015-01-16,208.097,10660.320313,1.815,79.519997,4142.140136999999
2015-01-17,199.259995,10660.320313,1.815,79.519997,4142.140136999999
2015-01-18,210.339005,10660.320313,1.815,79.519997,4142.140136999999
2015-01-19,214.860992,10660.320313,1.815,79.519997,4142.140136999999
2015-01-20,211.315002,10658.620117,1.807,82.07,4171.209961
2015-01-21,226.897003,10720.400391,1.853,81.209999,4192.089844
2015-01-22,233.406006,10859.349609,1.896,81.120003,4270.3598630000015
2015-01-23,232.878998,10788.330078,1.817,78.33000200000002,4278.140136999999
2015-01-24,247.847,10788.330078,1.817,78.33000200000002,4278.140136999999
2015-01-25,253.718002,10788.330078,1.817,78.33000200000002,4278.140136999999
2015-01-26,273.472992,10847.150391,1.828,79.529999,4275.720215
2015-01-27,263.475006,10781.830078,1.825,81.91999799999998,4165.5
2015-01-28,233.914993,10603.860352,1.724,78.449997,4140.379883
2015-01-29,233.513,10691.629883,1.751,77.129997,4181.350098
2015-01-30,226.425003,10537.219727,1.675,79.400002,4148.430176
2015-01-31,217.464005,10537.219727,1.675,79.400002,4148.430176
2015-02-01,226.972,10537.219727,1.675,79.400002,4148.430176
2015-02-02,238.229004,10669.030273,1.673,79.400002,4188.589844
2015-02-03,227.268005,10847.410156,1.78,78.900002,4229.149902
2015-02-04,226.852997,10775.040039,1.797,80.019997,4221.200195
2015-02-05,217.110992,10896.05957,1.815,81.029999,4256.180176
2015-02-06,222.266006,10847.509766,1.938,76.91999799999998,4228.680176
2015-02-07,227.753998,10847.509766,1.938,76.91999799999998,4228.680176
2015-02-08,223.412003,10847.509766,1.938,76.91999799999998,4228.680176
2015-02-09,220.110001,10826.589844,1.948,78.25,4216.089844
2015-02-10,219.839005,10915.139648,1.991,76.879997,4281.160156
2015-02-11,219.184998,10889.049805,1.988,75.370003,4297.279785
2015-02-12,221.764008,10995.30957,1.986,76.480003,4347.970215
2015-02-13,235.427002,11042.69043,2.021,77.120003,4384.029785
2015-02-14,257.321014,11042.69043,2.021,77.120003,4384.029785
2015-02-15,234.824997,11042.69043,2.021,77.120003,4384.029785
2015-02-16,233.843002,11042.69043,2.021,77.120003,4384.029785
2015-02-17,243.610001,11054.469727,2.145,74.800003,4385.339844
2015-02-18,236.326004,11064.089844,2.066,76.470001,4390.910156
2015-02-19,240.283005,11038.259766,2.113,74.68,4411.8598630000015
2015-02-20,243.779007,11108.669922,2.133,74.279999,4443.049805
