Retweet_Count,id,Tweet,created_at,favorite_count,source
6947,1510762454191677441,"RT @SinaOsivand: Patience is the key ✌️

#LaqiraProtocol #Laqira $LQR #NFTs 
#Metaverse #Bitcoin",2022-04-03 23:33:32+00:00,0,Twitter for Android
0,1510762446092480519,"Check out my NFT listing on OpenSea! https://t.co/EzXq313Zwa @opensea 

#NFTs #NFTCommunity #NFTGiveaway #DeFi #BNB… https://t.co/ASwlviVRRk",2022-04-03 23:33:30+00:00,0,Twitter for Android
0,1510762445115375618,"Telegram: https://t.co/R8kSuqdT1R
#ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BinanceSmartChain… https://t.co/kIkxHW1MLe",2022-04-03 23:33:30+00:00,0,Twitter for Android
0,1510762443215151107,"@crocboyofficial @ConnectorCoin ➡️ @CONNECTORCOIN ⬅️
Good Project 👌👌👌
#crypto #bitcoin 
#CONNECTORCOIN 
#ctco $bnb… https://t.co/zmIbDN4VHJ",2022-04-03 23:33:29+00:00,0,Twitter for Android
155,1510762442904592388,RT @pete_rizzo_: 8 years. No correction. #Bitcoin https://t.co/TiTQ3A94F8,2022-04-03 23:33:29+00:00,0,Twitter Web App
136,1510762439679393794,RT @BitcoinMagazine: NEW 💥 Rapper Logic paid in #Bitcoin for Sound Money music festival concert https://t.co/AgLfj8OGIb,2022-04-03 23:33:28+00:00,0,Twitter Web App
0,1510762423338381316,"@crocboyofficial @ConnectorCoin ➡️ @CONNECTORCOIN ⬅️
Good Project 👌👌👌
#crypto #bitcoin 
#CONNECTORCOIN 
#ctco $bnb… https://t.co/S1xj3ABpLu",2022-04-03 23:33:24+00:00,0,Twitter for Android
0,1510762417789325312,@araqualina @MiladShirazi17 @4hol_tz Probably underrated because she's shilling altcoins in her bio making her not… https://t.co/ylGul8P70u,2022-04-03 23:33:23+00:00,0,Twitter for Android
66716,1510762416879153153,"RT @binance: 💰 $10,000 giveaway 💰
 
Post your #BitcoinButton result to enter!
 
Rules:
🔸 Retweet this post
🔸 Follow @Binance
🔸 Play #Bitcoi…",2022-04-03 23:33:23+00:00,0,Twitter for iPhone
0,1510762412575703041,"The evolution of blockchain: Transactions, contracts and applications - Cointelegraph   https://t.co/2ecLXhzGz8   #Blockchain  #Bitcoin",2022-04-03 23:33:22+00:00,0,Microsoft Power Platform
0,1510762412265422854,Blockchain system in Gadchiroli to weed out fake caste certificates - The Indian Express   https://t.co/ymbjP9Xhx4   #Blockchain  #Bitcoin,2022-04-03 23:33:22+00:00,0,Microsoft Power Platform
0,1510762404694614027,"18348) Current #Bitcoin Price is $46475 #BTC #Crypto
Indicators Daily:
RSI: 62.2
MA(20): 43908
MA(50): 41620
MA(200… https://t.co/ZQwafQB6Ir",2022-04-03 23:33:20+00:00,0,vaiotapi
55,1510762403134427137,"RT @CryptoBTC_Chris: Remember: #Bitcoin brings the money back in the market.  

We've been killing these small caps on KuCoin, but when bit…",2022-04-03 23:33:20+00:00,0,Twitter for Android
4716,1510762401855070209,RT @BlackBearFi: We are excited to announce that our project is going live within months. 🌲 If you want a chance to win 100 $matic enter th…,2022-04-03 23:33:19+00:00,0,Twitter for Android
0,1510762395828125696,"Telegram: https://t.co/R8kSuqdT1R
#ethaxcrypto #ethaxtoken #DEX #cryptocurrency #Ethereum #BinanceSmartChain… https://t.co/Lncgck26gX",2022-04-03 23:33:18+00:00,0,Twitter for Android
0,1510762394301214731,#Bitcoin will take us to the edges of infinity and yet we will never quite understand infinity.,2022-04-03 23:33:18+00:00,0,Twitter for iPhone
184,1510762387619651587,"RT @Dennis_Porter_: Exxon Mobile, Shell, ConocoPhillips, and BP will eventually be some of the largest #Bitcoin miners on the planet. If yo…",2022-04-03 23:33:16+00:00,0,Twitter for Android
0,1510762377037303810,"@thecryptob0t 🌎 2030 Vision // Year One 🌎

🇺🇲 // MUST SEE Documentary

🧠 // Learn What Was CENSORED in this Years M… https://t.co/JZjY6fDUh9",2022-04-03 23:33:13+00:00,0,Twitter for Android
330,1510762373593899012,"RT @TechDev_52: #Bitcoin Wave Structure Comparison

2010-2013  1W         vs.         2016-Now  3W https://t.co/QK3EjKehxL",2022-04-03 23:33:13+00:00,0,Twitter for Android
2381,1510762373451493377,"RT @Steam_Exchange: The #SteamExchange ecosystem is designed to be your one-stop-shop solution for all things digital assets. 

We’re build…",2022-04-03 23:33:13+00:00,0,Twitter for Android
0,1510762372025171968,"👋 A new block was found on the #Bitcoin network. We're at block height 730307, current #bitcoin price is $46521.62… https://t.co/1XoXFoGzsu",2022-04-03 23:33:12+00:00,0,satsleft
111,1510762370645303298,RT @rovercrc: Next week looks promising for #Bitcoin 🚀,2022-04-03 23:33:12+00:00,0,Twitter for Android
0,1510762362432901127,#linkedin #twitter #facebook #instagram #bitcoin #giftsforhim #socialmedia #pinterest #medium #dogecoin #gift… https://t.co/fmYsCB7QnZ,2022-04-03 23:33:10+00:00,0,ContentStudio.io
214,1510762359819800581,"RT @TheBitcoinConf: The largest #Bitcoin Conference in history starts in 3 days!

Nearly 400 speakers have been announced! We’re excited to…",2022-04-03 23:33:09+00:00,0,Twitter for iPhone
0,1510762359333269507,"🐮 BULLWHALE! just LONGED $3,131,591 worth of #Bitcoin #BTC at $46,350 on #Binance Futures",2022-04-03 23:33:09+00:00,0,bearwhale
993,1510762356648857606,"RT @ashwsbreal: If #Bitcoin doesn’t hit $50,000 by  tomorrow I will give $3,000 to one of my followers.",2022-04-03 23:33:09+00:00,0,Twitter for Android
0,1510762355789119489,"🐮 BULLWHALE! just LONGED $3,048,425 worth of #Bitcoin #BTC at $46,366 on #Binance Futures",2022-04-03 23:33:08+00:00,0,bearwhale
9,1510762355252150274,"RT @TOBTC_Official: 45220$ will be the next support for #Bitcoin 

#LaqiraProtocol 
#LQR 
#LAQIRACE",2022-04-03 23:33:08+00:00,0,Twitter for Android
0,1510762354363052032,"🐮 BULLWHALE! just LONGED $10,631,446 worth of #Bitcoin #BTC at $46,366 on #Binance Futures",2022-04-03 23:33:08+00:00,0,bearwhale
0,1510762351854645252,"After signing up, to find the  promotion center click on your profile in the top right corner and the next screen w… https://t.co/tlu9Wwqswy",2022-04-03 23:33:07+00:00,0,Twitter for Android
136,1510762349292048386,RT @BitcoinMagazine: NEW 💥 Rapper Logic paid in #Bitcoin for Sound Money music festival concert https://t.co/AgLfj8OGIb,2022-04-03 23:33:07+00:00,0,Twitter for Android
0,1510762342799351831,"“I smell a New Whirl Odor.”
-Public Enemy #Bitcoin",2022-04-03 23:33:05+00:00,0,Twitter for iPhone
35,1510762341834850307,"RT @VailshireCap: I've said it before and I'll say it again:

Owning fiat assets only and NOT owning any #bitcoin over the long-term will a…",2022-04-03 23:33:05+00:00,0,Twitter for iPhone
5,1510762340874129413,"RT @ohhwesley89: #VeChain $VET

Yesterday 
VeChainThor Accounts: 1,744,652

Today
VeChainThor Accounts: 1,745,516

Clauses: 96,627
Mkt Cap:…",2022-04-03 23:33:05+00:00,0,Twitter for iPhone
0,1510762335602081792,"@AkelaSolana Nice project and I look forward to the growth and success of this project
@remyoa
@dixxzy2
@depoin_ya… https://t.co/dKT5VJE5uj",2022-04-03 23:33:04+00:00,0,Twitter for Android
89,1510762333366329352,"RT @kadena_io: We’re excited to announce that @Kadena_io will be hosting an event during #Bitcoin Miami this Thursday, April 7th!

Tune in…",2022-04-03 23:33:03+00:00,0,Twitter Web App
4,1510762331445284868,"RT @Gertoshii: Think to yourself, who would you rather be? The one who took the risks, and found success or the one who played it safe, and…",2022-04-03 23:33:03+00:00,0,Twitter for Android
0,1510762325615120387,"@conspiracyb0t 🌎 2030 Vision // Year One 🌎

🇺🇲 // MUST SEE Documentary

🧠 // Learn What Was CENSORED in this Years… https://t.co/gfrd7ij73g",2022-04-03 23:33:01+00:00,0,Twitter for Android
0,1510762321324482560,@natbrunell Knowledge of #Bitcoin + DCA is financial freedom.,2022-04-03 23:33:00+00:00,0,Twitter for Android
3,1510762320565518337,"RT @maxkeiser: I predict:

Comedy clubs will go underground. 

Telling jokes in comedy speakeasies will be where the nouveau beatniks hang…",2022-04-03 23:33:00+00:00,0,Twitter Web App
0,1510762318388686851,"@TelefyConnect This amazing project will be a huge success, now is the perfect time to take first place!good luck t… https://t.co/k5Rx7UdvHo",2022-04-03 23:32:59+00:00,0,Twitter for Android
265,1510762313401487362,"RT @coinbureau: Giving away some #Bitcoin Miami tickets. Simple steps to enter:

1⃣ Like, Retweet, Follow
2⃣ Comment your best #crypto rhym…",2022-04-03 23:32:58+00:00,0,Twitter for Android
0,1510762312541814788,@classcoin_io You're a great example to others projects. You are making a difference. Everything would be better if… https://t.co/rRj4HkkG3C,2022-04-03 23:32:58+00:00,0,Twitter for Android
1,1510762306329890817,"RT @joeyblow92: @akaCurt @John_Inubook The BEARS ARE GETTING  TIRED and WEAKER !!
 
#DOGECOIN and #BITCOIN  Doing a Very BULLISH DIVERGENCE…",2022-04-03 23:32:57+00:00,0,Twitter Web App
627,1510762299581251586,"RT @real_vijay: Ethereum has 1000 competitors, #Bitcoin has none.",2022-04-03 23:32:55+00:00,0,Twitter for iPhone
69,1510762295680372736,"RT @TechDev_52: $MANA has one of the cleanest channels out there with a clear repeating structure.

I review its targets, as well as key up…",2022-04-03 23:32:54+00:00,0,Twitter Web App
136,1510762295428714501,RT @BitcoinMagazine: NEW 💥 Rapper Logic paid in #Bitcoin for Sound Money music festival concert https://t.co/AgLfj8OGIb,2022-04-03 23:32:54+00:00,0,Twitter for iPhone
265,1510762294074036226,"RT @coinbureau: Giving away some #Bitcoin Miami tickets. Simple steps to enter:

1⃣ Like, Retweet, Follow
2⃣ Comment your best #crypto rhym…",2022-04-03 23:32:54+00:00,0,Twitter for iPhone
0,1510762287790968833,@BSCGemsAlert I have never seen any hard working team like Pitbull Token's volunteer devs and its community 💥💥💥… https://t.co/Dl3cmzVFrf,2022-04-03 23:32:52+00:00,0,Twitter for Android
89,1510762283596668931,"RT @kadena_io: We’re excited to announce that @Kadena_io will be hosting an event during #Bitcoin Miami this Thursday, April 7th!

Tune in…",2022-04-03 23:32:51+00:00,0,Twitter for iPhone
